owner_code,owner_name,product_code,product_name,warehouse_code,location_code,inventory_detail_ids,inventory_transaction_ids,need_batch_no,need_production_date,need_expiry_date,business_confirmed_batch_no,business_confirmed_production_date,business_confirmed_expiry_date,evidence_source,confirmed_by,confirmed_at,remarks
byny,博悦农业,BYNY-0001,国曼8号鸡蛋,1,8-1-1-1,191,218,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0003,坚果包装罐子,1,8-1-1-1,1,"1,219,220,221",Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0004,坚果包装盖子,1,8-1-1-1,2,2,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0005,坚果包装封口铝膜,1,8-1-1-1,3,3,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,"4,182,183,184,185,186,187","4,184,185,186,187,188,189,190,191,192,193,194,195",Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0008,2.0全豆豆奶250ml标准包,1,8-1-1-1,5,5,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0009,2.5学生饮用豆奶250ml标准包,1,8-1-1-1,6,"6,201,204,207,210,213,216",Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0011,3.0无糖全豆豆奶200ML钻石包,1,8-1-1-1,7,7,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0012,红装大礼盒250ml*12,1,8-1-1-1,8,8,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0013,红装小礼盒250ml*12,1,8-1-1-1,9,9,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0014,2.0原味全豆豆奶200ML,1,8-1-1-1,10,10,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0015,优家优厨卫净,1,8-1-1-1,11,11,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0016,AEX柠檬洗洁精,1,8-1-1-1,12,12,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0017,AEX薰衣草洗衣液,1,8-1-1-1,13,13,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0018,巴旦木300g,1,8-1-1-1,14,14,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0019,大松子250g,1,8-1-1-1,15,15,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0020,黄葡萄干350g,1,8-1-1-1,16,16,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0021,绿葡萄干350g,1,8-1-1-1,17,17,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0022,开心果250g,1,8-1-1-1,18,18,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0023,夏威夷果330g,1,8-1-1-1,19,19,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0026,黑豆浆粉,1,8-1-1-1,20,20,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0027,板栗仁100g,1,8-1-1-1,21,21,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0028,板栗仁50g,1,8-1-1-1,22,22,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0030,芒果干25g,1,8-1-1-1,23,23,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0031,芒果干26g,1,8-1-1-1,24,24,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0032,芒果干200g,1,8-1-1-1,25,25,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0033,芒果干90g,1,8-1-1-1,26,26,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0034,芒果干55g,1,8-1-1-1,27,27,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0001,绿川奢柔3+1挂抽5层,1,8-1-1-1,152,"153,202,205,208,211,214,217",Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0002,九九香3080平纹5层底部抽纸（粉）,1,8-1-1-1,153,"154,203,206,209,212,215",Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0003,贝雅3981抽纸5层400张80抽,1,8-1-1-1,154,155,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0004,九九香3080平纹5层500张10包（粉）,1,8-1-1-1,155,156,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0005,糕东来-宁波年糕（条状)500g,1,8-1-1-1,156,157,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0006,贝尔蒂-宁波年糕（切片）250g,1,8-1-1-1,157,158,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0007,贝尔蒂-宁波年糕（条状）250g,1,8-1-1-1,158,159,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0008,AZY-115绳提款5斤砂糖桔,1,8-1-1-1,159,160,Y,N,N,,,,,,,
jqrt,金桥融通,JQRT-0009,45号10斤加厚加重砂糖桔,1,8-1-1-1,160,161,Y,N,N,,,,,,,
jqrt,金桥融通,JQRT-0010,AZY-116号砂糖桔10斤装,1,8-1-1-1,161,162,Y,N,N,,,,,,,
jqrt,金桥融通,JQRT-0011,AZY46号财神爷砂糖桔10斤装手提款,1,8-1-1-1,162,163,Y,N,N,,,,,,,
jqrt,金桥融通,JQRT-0012,ZD-10斤装手提狮子爆汁沃柑,1,8-1-1-1,163,164,Y,N,N,,,,,,,
jqrt,金桥融通,JQRT-0013,ZD鲜甜沃柑10斤装手提款,1,8-1-1-1,164,165,Y,N,N,,,,,,,
jqrt,金桥融通,JQRT-0014,希美食品保鲜袋25cmX35cm,1,8-1-1-1,165,166,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0015,希美食品保鲜袋30cmX40cm,1,8-1-1-1,166,167,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0016,希美食品保鲜袋20cm30cm,1,8-1-1-1,167,168,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0017,华盛封口胶透明190*4.5*49个/箱,1,8-1-1-1,168,169,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0018,华盛封口胶透明150*5.0*48个/箱,1,8-1-1-1,169,170,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0019,华盛封口胶白240*6.0*30个/箱,1,8-1-1-1,170,171,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0020,空白大纸箱,1,8-1-1-1,171,172,Y,N,N,,,,,,,
jqrt,金桥融通,JQRT-0021,福之泉大豆油20L,1,8-1-1-1,172,173,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0022,福之泉食用植物调和油20L,1,8-1-1-1,173,174,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0023,福临门一级大豆油5L,1,8-1-1-1,174,175,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0024,福临门优选一级大豆油5L,1,8-1-1-1,175,176,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0025,福临门花生调和油5L,1,8-1-1-1,176,177,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0026,福临门浓香压榨一级花生油5L,1,8-1-1-1,177,178,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0027,四海花生原香食用调和油5L,1,8-1-1-1,178,179,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0028,枫谷源精选泰香米25KG,1,8-1-1-1,179,180,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0029,25KG金丝软香,1,8-1-1-1,180,181,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0030,福临门花生原香食用植物油1.8L,1,8-1-1-1,181,182,Y,Y,Y,,,,,,,
dz,邓总,DZ-0001,2cm×20米双面胶,1,8-1-1-1,31,"31,199,222,223,224,225,226,230,231,232,233",Y,Y,Y,,,,,,,
dz,邓总,DZ-0002,4cm×20米双面胶,1,8-1-1-1,32,"32,200,228",Y,Y,Y,,,,,,,
dz,邓总,DZ-0003,4.5cm×10米红色单面胶,1,8-1-1-1,33,"33,227",Y,Y,Y,,,,,,,
dz,邓总,DZ-0004,4.5cm×10米灰色单面胶,1,8-1-1-1,34,"34,229",Y,Y,Y,,,,,,,
dz,邓总,DZ-0005,红平,1,8-1-1-1,35,35,Y,N,N,,,,,,,
dz,邓总,DZ-0006,红平,1,8-1-1-1,36,36,Y,N,N,,,,,,,
dz,邓总,DZ-0009,红平,1,8-1-1-1,37,37,Y,N,N,,,,,,,
dz,邓总,DZ-0011,红平,1,8-1-1-1,38,38,Y,N,N,,,,,,,
dz,邓总,DZ-0012,红平,1,8-1-1-1,39,39,Y,N,N,,,,,,,
dz,邓总,DZ-0013,红平,1,8-1-1-1,40,40,Y,N,N,,,,,,,
dz,邓总,DZ-0014,红平,1,8-1-1-1,41,41,Y,N,N,,,,,,,
dz,邓总,DZ-0015,红平,1,8-1-1-1,42,42,Y,N,N,,,,,,,
dz,邓总,DZ-0016,红平,1,8-1-1-1,43,43,Y,N,N,,,,,,,
dz,邓总,DZ-0017,红平,1,8-1-1-1,44,44,Y,N,N,,,,,,,
dz,邓总,DZ-0018,红平,1,8-1-1-1,45,45,Y,N,N,,,,,,,
dz,邓总,DZ-0019,红平,1,8-1-1-1,46,46,Y,N,N,,,,,,,
dz,邓总,DZ-0020,红平,1,8-1-1-1,47,47,Y,N,N,,,,,,,
dz,邓总,DZ-0021,红平,1,8-1-1-1,48,48,Y,N,N,,,,,,,
dz,邓总,DZ-0022,红平,1,8-1-1-1,49,49,Y,N,N,,,,,,,
dz,邓总,DZ-0023,红平,1,8-1-1-1,50,50,Y,N,N,,,,,,,
dz,邓总,DZ-0024,红平,1,8-1-1-1,51,51,Y,N,N,,,,,,,
dz,邓总,DZ-0025,红平,1,8-1-1-1,52,52,Y,N,N,,,,,,,
dz,邓总,DZ-0026,黑红平,1,8-1-1-1,53,53,Y,N,N,,,,,,,
dz,邓总,DZ-0027,黑红平,1,8-1-1-1,54,54,Y,N,N,,,,,,,
dz,邓总,DZ-0028,灰平,1,8-1-1-1,55,55,Y,N,N,,,,,,,
dz,邓总,DZ-0029,灰平,1,8-1-1-1,56,56,Y,N,N,,,,,,,
dz,邓总,DZ-0030,灰平,1,8-1-1-1,57,57,Y,N,N,,,,,,,
dz,邓总,DZ-0031,灰平,1,8-1-1-1,58,58,Y,N,N,,,,,,,
dz,邓总,DZ-0032,灰平,1,8-1-1-1,59,59,Y,N,N,,,,,,,
dz,邓总,DZ-0033,红拉,1,8-1-1-1,60,60,Y,N,N,,,,,,,
dz,邓总,DZ-0034,红拉,1,8-1-1-1,61,61,Y,N,N,,,,,,,
dz,邓总,DZ-0035,红拉,1,8-1-1-1,62,62,Y,N,N,,,,,,,
dz,邓总,DZ-0036,红拉,1,8-1-1-1,63,63,Y,N,N,,,,,,,
dz,邓总,DZ-0037,红拉,1,8-1-1-1,64,64,Y,N,N,,,,,,,
dz,邓总,DZ-0038,红拉,1,8-1-1-1,65,65,Y,N,N,,,,,,,
dz,邓总,DZ-0039,红拉,1,8-1-1-1,66,66,Y,N,N,,,,,,,
dz,邓总,DZ-0040,红拉,1,8-1-1-1,67,67,Y,N,N,,,,,,,
dz,邓总,DZ-0043,红拉,1,8-1-1-1,68,68,Y,N,N,,,,,,,
dz,邓总,DZ-0044,红拉,1,8-1-1-1,69,69,Y,N,N,,,,,,,
dz,邓总,DZ-0045,红拉,1,8-1-1-1,70,70,Y,N,N,,,,,,,
dz,邓总,DZ-0046,红拉,1,8-1-1-1,71,71,Y,N,N,,,,,,,
dz,邓总,DZ-0047,红拉,1,8-1-1-1,72,72,Y,N,N,,,,,,,
dz,邓总,DZ-0048,红拉,1,8-1-1-1,73,73,Y,N,N,,,,,,,
dz,邓总,DZ-0049,红拉,1,8-1-1-1,74,74,Y,N,N,,,,,,,
dz,邓总,DZ-0050,灰拉,1,8-1-1-1,75,75,Y,N,N,,,,,,,
dz,邓总,DZ-0051,灰拉,1,8-1-1-1,76,76,Y,N,N,,,,,,,
dz,邓总,DZ-0052,灰拉,1,8-1-1-1,77,77,Y,N,N,,,,,,,
dz,邓总,DZ-0053,黑拉,1,8-1-1-1,78,78,Y,N,N,,,,,,,
dz,邓总,DZ-0054,黑拉,1,8-1-1-1,79,79,Y,N,N,,,,,,,
dz,邓总,DZ-0055,黑拉,1,8-1-1-1,80,80,Y,N,N,,,,,,,
dz,邓总,DZ-0056,绿拉,1,8-1-1-1,81,81,Y,N,N,,,,,,,
dz,邓总,DZ-0057,绿拉,1,8-1-1-1,82,82,Y,N,N,,,,,,,
dz,邓总,DZ-0058,绿拉,1,8-1-1-1,83,83,Y,N,N,,,,,,,
dz,邓总,DZ-0059,绿拉,1,8-1-1-1,84,84,Y,N,N,,,,,,,
dz,邓总,DZ-0060,紫拉,1,8-1-1-1,85,85,Y,N,N,,,,,,,
dz,邓总,DZ-0061,紫拉,1,8-1-1-1,86,86,Y,N,N,,,,,,,
dz,邓总,DZ-0062,紫拉,1,8-1-1-1,87,87,Y,N,N,,,,,,,
dz,邓总,DZ-0063,天兰拉,1,8-1-1-1,88,88,Y,N,N,,,,,,,
dz,邓总,DZ-0064,天兰拉,1,8-1-1-1,89,89,Y,N,N,,,,,,,
dz,邓总,DZ-0065,艳兰拉,1,8-1-1-1,90,90,Y,N,N,,,,,,,
dz,邓总,DZ-0066,艳兰拉,1,8-1-1-1,91,91,Y,N,N,,,,,,,
dz,邓总,DZ-0067,艳兰拉,1,8-1-1-1,92,92,Y,N,N,,,,,,,
dz,邓总,DZ-0068,艳兰拉,1,8-1-1-1,93,93,Y,N,N,,,,,,,
dz,邓总,DZ-0069,艳兰拉,1,8-1-1-1,94,94,Y,N,N,,,,,,,
dz,邓总,DZ-0070,艳兰平,1,8-1-1-1,95,95,Y,N,N,,,,,,,
dz,邓总,DZ-0071,艳兰平,1,8-1-1-1,96,96,Y,N,N,,,,,,,
dz,邓总,DZ-0072,艳兰平,1,8-1-1-1,97,97,Y,N,N,,,,,,,
dz,邓总,DZ-0074,天兰平,1,8-1-1-1,98,98,Y,N,N,,,,,,,
dz,邓总,DZ-0075,天兰平,1,8-1-1-1,99,99,Y,N,N,,,,,,,
dz,邓总,DZ-0076,黑平,1,8-1-1-1,100,100,Y,N,N,,,,,,,
dz,邓总,DZ-0077,黑平,1,8-1-1-1,101,101,Y,N,N,,,,,,,
dz,邓总,DZ-0078,黑平,1,8-1-1-1,102,102,Y,N,N,,,,,,,
dz,邓总,DZ-0079,绿平,1,8-1-1-1,103,103,Y,N,N,,,,,,,
dz,邓总,DZ-0080,绿平,1,8-1-1-1,104,104,Y,N,N,,,,,,,
dz,邓总,DZ-0081,绿平,1,8-1-1-1,105,105,Y,N,N,,,,,,,
dz,邓总,DZ-0082,绿平,1,8-1-1-1,106,106,Y,N,N,,,,,,,
dz,邓总,DZ-0083,白平,1,8-1-1-1,107,107,Y,N,N,,,,,,,
dz,邓总,DZ-0084,白平,1,8-1-1-1,108,108,Y,N,N,,,,,,,
dz,邓总,DZ-0085,白平,1,8-1-1-1,109,109,Y,N,N,,,,,,,
dz,邓总,DZ-0086,白平,1,8-1-1-1,110,110,Y,N,N,,,,,,,
dz,邓总,DZ-0087,粉平,1,8-1-1-1,111,111,Y,N,N,,,,,,,
dz,邓总,DZ-0088,粉平,1,8-1-1-1,112,112,Y,N,N,,,,,,,
dz,邓总,DZ-0089,粉平,1,8-1-1-1,113,113,Y,N,N,,,,,,,
dz,邓总,DZ-0090,香槟平,1,8-1-1-1,114,114,Y,N,N,,,,,,,
dz,邓总,DZ-0091,香槟平,1,8-1-1-1,115,115,Y,N,N,,,,,,,
dz,邓总,DZ-0092,驼平,1,8-1-1-1,116,116,Y,N,N,,,,,,,
dz,邓总,DZ-0093,驼平,1,8-1-1-1,117,117,Y,N,N,,,,,,,
dz,邓总,DZ-0094,咖啡平,1,8-1-1-1,118,118,Y,N,N,,,,,,,
dz,邓总,DZ-0095,咖啡平,1,8-1-1-1,119,119,Y,N,N,,,,,,,
dz,邓总,DZ-0097,桔黄平,1,8-1-1-1,120,120,Y,N,N,,,,,,,
dz,邓总,DZ-0098,明黄平,1,8-1-1-1,121,121,Y,N,N,,,,,,,
dz,邓总,DZ-0099,桃红平,1,8-1-1-1,122,122,Y,N,N,,,,,,,
dz,邓总,DZ-0100,酒红平,1,8-1-1-1,123,123,Y,N,N,,,,,,,
dz,邓总,DZ-0101,酒红平,1,8-1-1-1,124,124,Y,N,N,,,,,,,
dz,邓总,DZ-0102,酒红平,1,8-1-1-1,125,125,Y,N,N,,,,,,,
dz,邓总,DZ-0103,酒红平,1,8-1-1-1,126,126,Y,N,N,,,,,,,
dz,邓总,DZ-0104,黑红平,1,8-1-1-1,127,127,Y,N,N,,,,,,,
dz,邓总,DZ-0106,淡兰平,1,8-1-1-1,128,128,Y,N,N,,,,,,,
dz,邓总,DZ-0107,淡兰平,1,8-1-1-1,129,129,Y,N,N,,,,,,,
dz,邓总,DZ-0108,淡兰平,1,8-1-1-1,130,130,Y,N,N,,,,,,,
dz,邓总,DZ-0109,浅紫平,1,8-1-1-1,131,131,Y,N,N,,,,,,,
dz,邓总,DZ-0110,浅紫平,1,8-1-1-1,132,132,Y,N,N,,,,,,,
dz,邓总,DZ-0111,果绿平,1,8-1-1-1,133,133,Y,N,N,,,,,,,
dz,邓总,DZ-0112,果绿平,1,8-1-1-1,134,134,Y,N,N,,,,,,,
dz,邓总,DZ-0114,白拉,1,8-1-1-1,135,135,Y,N,N,,,,,,,
dz,邓总,DZ-0115,白拉,1,8-1-1-1,136,136,Y,N,N,,,,,,,
dz,邓总,DZ-0116,白拉,1,8-1-1-1,137,137,Y,N,N,,,,,,,
dz,邓总,DZ-0117,鸵拉,1,8-1-1-1,138,138,Y,N,N,,,,,,,
dz,邓总,DZ-0118,鸵拉,1,8-1-1-1,139,139,Y,N,N,,,,,,,
dz,邓总,DZ-0119,鸵拉,1,8-1-1-1,140,140,Y,N,N,,,,,,,
dz,邓总,DZ-0120,粉拉,1,8-1-1-1,141,141,Y,N,N,,,,,,,
dz,邓总,DZ-0121,粉拉,1,8-1-1-1,142,142,Y,N,N,,,,,,,
dz,邓总,DZ-0122,粉拉,1,8-1-1-1,143,143,Y,N,N,,,,,,,
dz,邓总,DZ-0123,咖啡拉,1,8-1-1-1,144,144,Y,N,N,,,,,,,
dz,邓总,DZ-0124,咖啡拉,1,8-1-1-1,145,145,Y,N,N,,,,,,,
dz,邓总,DZ-0125,咖啡拉,1,8-1-1-1,146,146,Y,N,N,,,,,,,
dz,邓总,DZ-0126,咖啡拉,1,8-1-1-1,147,147,Y,N,N,,,,,,,
dz,邓总,DZ-0127,蒂芙尼兰平,1,8-1-1-1,148,148,Y,N,N,,,,,,,
dz,邓总,DZ-0128,蒂芙尼兰平,1,8-1-1-1,149,149,Y,N,N,,,,,,,
dz,邓总,DZ-0129,蒂芙尼兰平,1,8-1-1-1,150,"150,152",Y,N,N,,,,,,,
dz,邓总,DZ-0130,蒂芙尼兰平,1,8-1-1-1,151,151,Y,N,N,,,,,,,
rxgsnn,锐鑫公司（南宁）,RX-0001,石磨米粉,1,8-1-1-1,28,28,Y,Y,Y,,,,,,,
rxgsnn,锐鑫公司（南宁）,RX-0002,小纸箱,1,8-1-1-1,29,"29,183",Y,N,N,,,,,,,
rxgsnn,锐鑫公司（南宁）,RX-0003,大纸箱,1,8-1-1-1,30,30,Y,N,N,,,,,,,
